Throttle angle, ?t (degrees);Engine Speed, N (rad/s);Manifold Absolute Pressure, pm (kpa)
50;647;92,9
51;653;92,9
51;679;92,2
51;691;91,8
52;704;92,4
53;716;93,4
53;729;92,8
54;741;92,9
55;741;93,4
57;748;93,6
57;754;93,8
58;760;93,9
57;779;93,3
58;773;94,1
59;792;94,4
59;792;94,2
59;811;93,9
61;817;94,5
62;829;94,2
62;836;94
64;855;94,3
63;867;94,5
64;873;94,2
65;892;94,5
65;898;94,2
67;905;95
67;924;94,7
67;930;94,8
67;942;94,4
69;949;94,8
69;955;95,1
70;961;95,3
70;974;95,3
71;980;94,4
72;986;95,4
73;993;95,6
76;999;96,4
76;1005;95,8
77;1012;96,4
77;1018;95,9
79;1030;96,9
80;1030;96,4
80;1043;96,5
80;1049;96,3
81;1049;96,4
80;1062;96,5
81;1068;96,5
82;1068;96,8
81;1081;98,3
81;1081;94,8
81;1087;96,1
80;1100;96,2
80;1100;96,4
81;1106;96,4
80;1112;96
79;1118;95,9
80;1118;96,7
80;1112;96,5
79;1118;96,5
80;1106;96,5
80;1100;96,6
80;1106;96,4
79;1100;96,5
80;1093;96,3
80;1106;96,3
80;1106;96,6
80;1100;96,5
79;1100;96,8
81;1100;96,2
79;1100;96,3
80;1100;96,3
79;1100;96,2
74;1093;95,9
70;1093;94,8
65;1100;93,5
62;1093;93,5
61;1087;93,1
61;1087;93,2
61;1087;92,8
58;1087;92,3
53;1087;90,2
51;1068;90,2
47;1043;88,3
45;1037;89,1
44;1018;88,4
43;999;88,5
43;986;86,8
41;968;88,3
40;955;86,8
39;936;86,6
37;917;86,5
36;905;84,7
35;886;84,8
33;873;84,1
32;861;83
30;842;82,5
29;829;82,1
29;817;81,7
27;798;80,1
28;779;80,9
27;767;80,4
27;760;79,9
25;748;79,3
24;729;79
24;716;79
23;697;77,3
23;685;76,2
21;672;75,4
20;660;75,7
18;647;74,7
18;635;74,4
17;622;74,7
16;609;74,6
16;597;75
15;584;74
15;578;74,7
15;565;75,7
15;559;74,8
14;540;75,2
14;528;76,3
14;515;74,7
12;503;76,3
11;496;74,7
11;484;75,2
11;465;76,7
10;459;73,9
9;446;75,7
8;440;76,1
7;440;76
6;427;76
6;427;76,3
6;427;76,6
5;421;76,5
4;415;77,1
3;415;77,1
3;396;77
2;390;78,3
1;377;77,7
1;364;82,6
0;352;78,6
0;346;81,3
0;333;82,1
0;327;83,2
0;314;82,1
0;302;83
0;295;86,6
0;289;86,8
0;276;83,2
0;270;87,8
0;258;83,8
0;251;88,2
0;239;88,5
0;132;89,3
1;126;92
5;138;91,9
12;207;89,5
19;239;88,7
25;270;89,4
25;283;90
26;283;87,9
27;289;87,6
29;295;88,7
30;295;90,5
31;314;91,6
34;308;91,1
36;314;92,1
38;327;93,1
39;333;93,4
40;320;93,7
40;333;94
42;320;94,3
43;320;94,9
44;327;95,9
46;314;95,9
48;346;96,2
51;364;96,4
52;383;96,9
52;408;96,9
51;427;95,6
51;446;95,5
52;459;95,8
52;484;94,7
53;503;94,9
55;522;95,4
57;540;95,8
59;559;96
61;578;95,8
62;597;95,9
63;609;96,4
64;635;96,1
65;653;96,2
65;679;96,4
67;697;95,9
68;710;96,5
69;729;96,2
70;748;96,2
72;773;96,3
73;785;96,8
74;804;96,7
75;811;96,6
76;836;96,2
77;855;96,9
79;855;97,1
80;873;96,9
81;892;97,1
82;892;97
83;911;96,6
84;924;96,9
85;930;97
86;949;96,9
87;955;96,9
88;968;96,7
88;974;96,6
89;993;97,5
89;993;97,1
88;1012;96,4
89;1012;96,7
90;1024;96,6
90;1030;97
90;1037;97,2
90;1049;96,9
90;1056;96,6
90;1068;97,1
90;1068;96,5
90;1074;95,7
90;1087;97,4
90;1093;96,2
90;1100;97,2
90;1106;97,1
90;1112;96,7
90;1118;97,3
90;1118;96,8
90;1125;97,2
90;1131;96,7
90;1131;95,8
90;1137;96,8
90;1150;96,9
90;1150;96,5
90;1150;97,3
90;1150;96,9
90;1156;96,8
90;1162;96,2
90;1169;96,4
90;1169;97
